label,kind,variant,variant_id,canonical,canonical_id,variant_in,canonical_in
,skel,"We Are Dark Angels, Zachary Dawes, Nick Sena",1d16d3a6-0e22-585d-88e2-cf41ddd0e435,"We Are Dark Angels, Zachary Dawes & Nick Sena",c08e75ed-b9e2-5c57-8684-ff1ec01deb88,1,2
,skel,Rudimental Feat Becky Hill,c7b5b752-a8fe-5814-97f7-f13d6554a760,Rudimental feat. Becky Hill,b0d2b89b-7429-5bd6-9d10-0c86b74e837f,15,295
,skel,Albino‚s Alligator,309c82b0-5a13-5634-8487-787e0e7c81a7,Albino's Alligator,6743c9f8-5766-48df-9ad1-6c84da080cbe,5,105
,skel,"Move D, Dman",3796d9ef-8328-5f87-8eb0-cc9317e42520,Move D & Dman,d028efe7-a841-5351-b91e-a08252bced40,3,6
,skel,Chance The Rapper/Ab-Soul,a4542c5b-4060-55a0-bb32-cd13d1e7611e,"Chance The Rapper, Ab-Soul",65da5fff-f0ba-582b-b4c9-3f28f533c682,5,645
,skel,"Brent Faiyaz/Dahi/Tyler, The Creator",0453677d-fd05-5f25-8095-63b0d8fbc014,"Brent Faiyaz, Dahi, Tyler, The Creator",02540d66-0336-5df7-958d-9986b86766e0,37,1230
,skel,DUD!,f9a08d32-d6ad-532d-a57f-87b0dd60f224,dud,ff3c6312-f983-54e8-a1d2-0a654a7e5b31,3,597
,skel,Xzibit & Jayo Felony & Method Man,d9c75ef8-af67-58d0-89ec-094de6f0b352,"Xzibit, Jayo Felony, Method Man",95d88e52-4832-5857-acbd-b921add253d4,1,2
,skel,Paul Grogan pres The Coffee Boys,c16de302-1c88-54d5-b7ce-a6a002705d2c,Paul Grogan pres. The Coffee Boys,b809435d-8501-56bc-898a-460a2f5e1e9c,3,303
,skel,"Rueben, PHI NIX",c2016124-a044-53fd-80eb-cdad7cca116d,Rueben & PHI NIX,3235d624-2da9-5446-8afc-3df77784ad9d,61,129
,skel,"Meek Mill, Rick Ross, Wale",7d88f55e-2f0d-5802-80da-d522daa7d359,"Meek Mill, Rick Ross & Wale",ecdba9aa-98ed-5037-8285-dd6da805cfab,39,71
,skel,Alex Gaudino And Jerma Pres. Lil` Love,2d3b4a53-f99c-5665-82ff-6f35baa0f6f4,Alex Gaudino and Jerma pres Lil Love,544711a2-851f-5546-8b57-454e5e133434,1,2
,skel,Steven Isserlis/Maggie Cole,5fc6826c-5325-57ed-a51f-6d5acc89dc40,Steven Isserlis & Maggie Cole,7805a841-931f-54df-aae9-6c1cf020d9b3,3,29
,skel,Vs Sonic.exe: Rerun OST,2cebe88e-5c2e-54d1-bb0a-663a9d7682a5,VS Sonic.EXE RERUN OST,f97420d4-0e28-51e7-a939-9678a0ce2ae6,33,59
,skel,Szczyl/Magiera,8fbe38dd-66e5-54ee-9559-79ef23deb0f1,"Szczyl, Magiera",05b05e06-8783-5c47-9245-11b4393e0f81,8,1482
,skel,Singiel Męskiego Grania,164f33b9-e20a-4756-9d0a-0497c64a1281,SINGIEL MESKIEGO GRANIA,3ee2aff9-86f3-5883-9e54-2d1908a9a4fd,1,1
,skel,"Enrico Pieranunzi, Joey Baron & Marc Johnson",deaa01dc-7c3c-50cd-8f1f-133be7bc357b,Enrico Pieranunzi; Joey Baron; Marc Johnson,29e61e6f-8e79-5662-8c12-a58546e18a4f,25,25
,skel,Martín - García,a4eaa2c9-19c9-5022-9e2c-29e149f83832,Martin Garcia,a8815169-17f3-406a-b9cf-c045b4cea8e8,1,351
,skel,"David Grubbs, Ryley Walker",c60b3187-0a4b-56f1-a009-86d07ada29cd,David Grubbs & Ryley Walker,076bc636-0c3e-52bd-909b-89aa4b31290e,2,18
,skel,Hyuji feat. LIQU@,aadba2bf-8b3a-5aac-86d4-faf50ccd9885,Hyuji feat. LIQU@。,b15f1c24-3578-5737-ab5f-202924754b20,14,24
,skel,Q:indivi & キヨサク,ae4aa07a-3635-5eed-9581-93cb42b05913,Q;indivi+キヨサク,84e69b3e-bdaa-5521-bfde-ada9cbe8b3af,2,28
,skel,Team Radio,37df8301-56a6-4305-aee1-888375d563f6,Team.Radio,73513cd4-4126-40b5-9fe8-693af8aea121,141,338
,skel,Apashe & Dope D.O.D.,846bf7ff-6838-5687-b939-8bb6db394801,"Apashe, DOPE D.O.D.",d56de33b-07e3-5762-9c9e-3c46dfe8f6ae,3,40
,skel,Oblivion's Mighty Trash & Saygi,030d0d74-9785-54d9-95c8-362f6b40bd5c,"Oblivion's Mighty Trash, Saygi",f64334af-114f-5403-97b9-2b0a379457a3,138,466
,skel,"Shawn Lee, Clutchy Hopkins",0a787d40-d2d0-5983-9f33-5de92e95b515,Shawn Lee & Clutchy Hopkins,b8703819-63cd-5082-82f7-0b763eafdd93,45,1602
,skel,Gavin Greenaway; The Lyndhurst Orchestra; Hans Zimmer,1966f849-d6ce-50d4-ad3c-17196961ab05,"Gavin Greenaway, The Lyndhurst Orchestra, Hans Zimmer",74b5de03-1aa5-5ce9-b381-a39b4f8462d5,1,121
,skel,"Prinz Pi, Bosse",9fc2a6e8-6032-5961-aa27-be3b5abae793,Prinz Pi & Bosse,28a4066f-7084-5739-84b2-443b06bf5c65,15,21
,skel,Don Toliver; Travis Scott,3759781e-a5ea-5e6f-a38b-75d1d34ce6ab,"Don Toliver, Travis Scott",c977e8b8-c78e-5d0b-8164-c35cb8a8e763,311,2591
,skel,Медведь - шатунъ,f3e769a4-451d-54ba-a0a4-9a536572b599,Медведь-Шатунъ,eccc5281-d871-534b-a0a6-bebdcf7c7145,1,268
,skel,Kelvin Momo & A-Reece,de34590c-c561-5514-84e1-0753ac3076df,"Kelvin Momo, A-Reece",a4237bde-e533-5ea7-8539-e186d9cdc24e,52,174
,skel,"Metro Boomin feat. Travis Scott, Kodak Black, 21 Savage",c87dbcdc-6bcf-5198-89e6-5b004b3015c4,"Metro Boomin feat. Travis Scott, Kodak Black & 21 Savage",a4c250ea-e750-5724-9f13-fe79166e5a80,98,341
,skel,Game ft Nelly Furtado,6e1e6b0f-6062-5fef-a15f-065e323dceea,Game Ft. Nelly Furtado,672d7386-6cee-5a54-93d2-ccf1131a3329,2,6
,skel,"Imanu, Zonderling",54adf3df-9ff5-55fd-8824-bba60d4e52ae,IMANU & Zonderling,855ee4e5-5564-5b88-bc00-8b16bf95a722,170,182
,skel,Gary Morris & Philip Quast,a9ff6beb-87b4-5877-9f83-592b8b8577b1,"Gary Morris, Philip Quast",88894324-f0a7-5deb-a633-264ad44b6490,1,28
,skel,Homo Poeticus,2cda68d1-8935-5d6f-9e2c-219b98d1f33b,Нomo Poeticus,ee052a80-7c3e-5579-8c85-91d982822528,2,48
,skel,Deller Consort*,adc1ba97-8de4-5f8b-8438-707cdf5a03e1,Deller Consort,2adc8bdf-0c91-4f60-abdd-42c43ca6451f,19,628
,skel,Travis Scott & Yung Mazi,84643da7-226b-59e8-a3e4-6bede5004e32,"Travis Scott, Yung Mazi",66ee7427-ff44-5501-ac90-76f09b553fa9,4,24
,skel,Nöir,7022450c-5e0b-5eff-95f7-a2a95dd649a1,Noir,f693fc5e-9080-4952-9814-6ff7244a5573,205,510
,skel,Protoje feat.Mortimer,22b49956-a626-5c3e-a897-88e073ad9da6,Protoje feat. Mortimer,3def99be-db04-5ed9-ac44-1e3a408fc85f,10,60
,skel,"María Escarmiento, Fran Laoren, blnco",c96755d7-96b0-5edd-a032-907e73b914c3,"María Escarmiento, Fran Laoren & BLNCO",9f756798-f31d-5c0b-baf6-2107ca02bc31,296,448
,skel,酔シグレ & Lucia,6b9d3226-7083-59fd-9191-8b2eda1940d1,酔シグレ / Lucia,92552e5d-351e-5065-8c93-46441566ac95,18,69
,skel,"Lee Hazlewood, Ann-Margret",63ef4f2f-a2fb-51ac-9fa7-6b0759bfd1c7,Lee Hazlewood & Ann-Margret,c0aa9df8-24e9-5024-9b93-0fbf06dc225b,4,310
,skel,地球防衛部(山本和臣、梅原裕一郎、西山宏太朗、白井悠介、増田俊樹),bb8c7441-0661-5538-8862-09a55206d708,"地球防衛部 (山本和臣, 梅原裕一郎, 西山宏太朗, 白井悠介, 増田俊樹)",46ef3386-4ca5-5e6d-9aab-329fb5047932,18,19
,skel,BRYCE&J,b01ae177-3978-5046-b8b0-f9828a352cd3,BRYCE/J,e4139d98-d06e-5933-90ed-86b6d0559028,98,287
,skel,leon andrade ✯ (@leonandradej),dab33b35-8129-5b3d-adc1-81e9dc259dae,leon andrade (@leonandradej),0631a23e-7f1c-5698-b496-4568c50eeeb0,7,125
,skel,o lendario chucrobillyman,a3f8aa40-bc57-52db-9482-dd6cd5b91ce5,O Lendário Chucrobillyman,40a79ca3-27f3-5f1c-b304-bc9e673b4684,129,252
,skel,Joel Gonzáles,98b8aa26-4f26-5da8-8b63-f1fce46e4633,Joel Gonzales,272d9f91-c255-5b67-af0f-ecd67564f38f,34,394
,skel,"Пахом, Прохор",81ae1770-aad6-5a3c-bb70-05131b273a66,Пахом & Прохор,3ed447ef-cc65-562e-8402-2cdfbbb06184,25,67
,skel,CONCRETE BOYS: DC2TRILL,c1ba86a6-3f5e-5f06-97a4-eb99fad3af19,"Concrete Boys, Dc2trill",0ccf4aa4-c25b-5eb5-a58e-88285b2929d4,1,229
,skel,"Yura Yunita, SIVIA, Agatha Pricilla & Nadin Amizah",28c7af8e-3217-56a1-9bc0-b736b8f3573b,"Yura Yunita, SIVIA, Agatha Pricilla, Nadin Amizah",09b6bafe-4eba-5b80-ae66-5c92af2d6f08,5,21
,skel,Kual?,d2be19e4-7670-5a4e-98cc-429f9bdd66cb,Kual,4aa72010-3ca6-51c5-9c46-3db1c115e54e,11,561
,skel,Charlie Brown Jr. - Vanessa Da Mata,2b767fe0-ec86-58c1-9710-33382ac757b6,Charlie Brown Jr. & Vanessa da Mata,2e7ba2c8-aa8a-5356-a09d-f18570ed58d0,135,326
,skel,Panda Black & FloyyMenor,fd535552-0371-5ab1-ae58-f46d6708b3f9,"Panda Black, FloyyMenor",69326d02-414c-59ac-a605-d11653637d67,1,27
,skel,"Noisecontrollers, Atmozfears",532d26c8-ae88-5c9e-bdac-10ae0150439d,Noisecontrollers & Atmozfears,55bdfe76-3e6e-5c8f-b341-f5b74720ab5f,6,15
,skel,抹×築山さえ,acaae2cc-12e4-52d8-93aa-b5ed62225b9f,抹，築山さえ,6fef26b3-fcb3-5485-884e-70f38a34751a,1,15
,skel,"Passion, Kristian Stanfill & Melodie Malone",d9c9c7b0-c729-5a3b-9b99-373932bd2814,"Passion, Kristian Stanfill, Melodie Malone",d31345b0-2aba-5e78-810f-2d6ae291ba12,38,154
,skel,"slippymudman, PUKE GIRL",c26e5850-459e-512e-8b4c-483f2448f526,slippymudman & PUKE GIRL,37e9974c-d0a5-57fd-9b43-0eef76b4f0ea,1,2
,skel,111nightshift & brdynl,ca03c087-d9f3-51d9-ab9e-6b72fe9ff7b9,"111nightshift, brdynl",fdd20dc0-cfe9-5d36-9743-f89f0bf2bcd2,20,71
,skel,Ferry Corsten & Morgan Page feat. Cara Melín,6b831f55-ceb5-5e93-a08b-a51d6ab3c0ab,Ferry Corsten & Morgan Page feat. Cara Melin,88a89a5b-85ff-5d6b-825a-c27f0cfdbabb,7,65
,skel,League of Legends; Sofasound,7a7bd845-08e8-54ce-9c9c-e6f5d33742ff,League of Legends & Sofasound,3a738cfa-6db6-5fe9-8f12-f7039cbb1e8a,8,145
,skel,●Восточный округ●,808cd1a1-10bf-54e8-a584-d3c9c12483b5,Восточный Округ,f2d8bbaa-e3ca-5add-ad18-73c134581f7b,1,4
,skel,"Rolling Loud, Rae Sremmurd & Duke Deuce",2c3fd080-a6d8-54f7-8cf3-2bbcbf68661e,"Rolling Loud, Rae Sremmurd, Duke Deuce",4a52b3e3-a75a-5114-a80b-a1d2313a19a9,8,13
,skel,Nadia Ali; Starkillers; Alex Kenji,cde782d8-7417-5f63-ba90-a569023f569a,"Nadia Ali, Starkillers & Alex Kenji",935d3a38-9fcb-5a1a-ada3-5a7e55e898eb,5,1613
,skel,Peso Pluma; Junior H; Óscar Maydon,5203183f-fff4-52ae-9865-8b645416b934,"Peso Pluma, Junior H & Óscar Maydon",af0f7093-eec3-5921-920a-a1ebe3a12ee6,4,680
,skel,Igreja Batista Nova Ebenezér,a73047f1-af30-50e5-a4d2-aaf8d544a229,Igreja Batista Nova Ebenezer,d4baec3c-5041-5874-b1e5-1d09d58aa842,1,8
,skel,C.F.O.P.A.,eac6c3fc-fc8e-5602-80e7-b7d7cf2c7d02,C.F.O.P.A,710727c7-e0a2-521d-8f23-895845b0fef8,5,7
,skel,"Sceptix, Grey's",6a0e394d-4002-5669-a287-caeb377936a7,Sceptix & Grey's,47cca170-9525-5813-8c1e-46aadb7699a4,1,57
,skel,Ih8P,8971d420-9409-5390-9e86-eafa30409bd3,[IH8P],bcbcbc65-08aa-40a1-a20e-dde264455ae4,2,33
,skel,🅴 JID,cda0b8fb-1bff-5087-8c81-d5acf4955e47,JID,d616b606-cf6a-4b6e-ab0f-e253b8db6610,2,2671
,skel,terraplana & Winter,ee4cc09c-dc7e-53e6-b0eb-b4601325d420,"terraplana, Winter",89aba89e-c7f4-576d-8bd4-fa3b3b3a3961,1,174
,skel,Zach Robinson & Leo Birenberg,11293fc7-4e91-5af8-87c6-c37ef3d94c86,"Zach Robinson, Leo Birenberg",8710a16b-5fdf-5217-a404-e057a60b36af,10,11
,skel,world's end girlfriend [feat. samayuzame],04fdd846-ac7f-50ab-bf9c-8e41343c9aaf,World's End Girlfriend feat. Samayuzame,fbc489a5-d6d1-5543-b8d5-375e469a043f,1,19
,skel,Disneyland Resort Paris©,3d9483ed-2465-51a8-b64f-64d2a5e433e4,disneyland resort paris,c4282539-9846-5923-b6a7-1a3e92e3bf16,2,67
,skel,"Joint One, Yung Juse & Chico da Tina",eee907ba-f6f9-54b7-a560-155e91ac1dcf,"Joint One, Yung Juse, Chico da Tina",8347d05d-58cf-58a2-bdbe-ca9b3ca2c2c5,6,92
,skel,@1ure,c9dce969-3376-52a4-bcf5-7fccc92c8bef,1ure,2e6b64db-2727-591c-bd64-b6e03d3085bf,2,121
,skel,ユウヤ&キティ,0e16b1f7-18e3-5425-bdb4-962c390b3678,ユウヤ & キティ,ed58328b-c32c-50a1-aa6d-55460bae31b0,2,64
,skel,"Ashka, Nemecist & acronym.",8feee21e-c395-5faa-ad22-6ca7572b945b,"ashka, Nemecist, acronym.",5f6cb485-102b-5cbc-aa62-2fcecb4a9f24,1,69
,skel,桜野くりむ (CV：本多真梨子),5c3f2da7-6a35-521b-98b5-094d12151aa5,桜野くりむ(CV:本多真梨子),bb474a8b-ea33-53b2-b477-5b0e6a795e93,5,61
,skel,Taylor Swift; The National,4f3ead7f-ea17-5810-ad9f-5b6e7a91465f,"Taylor Swift, The National",3cad57e6-d98b-5da4-93be-afbe64f4241c,58,1234
,skel,"Lieutenant Nicholson, DjeuhDjoah",cd81304a-499b-5129-8989-f7fb5ad0967d,Lieutenant Nicholson & DjeuhDjoah,510a26d7-2d26-59f3-ac7e-9f1f1a10993f,1,8
,skel,Fagner & Roberta Miranda,19e80096-4262-5a78-8a9d-c99c7fbb0047,"Fagner, Roberta Miranda",0d2c16e0-685f-56f1-a7e3-7c1c0026c9b5,1,6
,skel,Atric & Frida Darko,44c966a9-0e14-56d0-8ab2-862730d563c4,"Atric, Frida Darko",f7bed22c-5ed4-57d9-bb12-cbd370e1ec85,7,19
,skel,Мачете (Токио),db896a66-e202-5b75-a4cf-3c9873ac3010,Мачете-Токио,ab03a20d-1b83-5dad-8112-baba7f9646f4,1,1
,skel,"StreamBeats Originals, LilyPichu",bc952a56-31bf-58fe-9be1-2f8a87b107e1,StreamBeats Originals & LilyPichu,53e04865-933f-5972-bfa0-60eb9a689dd2,51,78
,skel,"Toro y Moi, Brijean",572d61ca-521b-5edd-9519-3fa357df298a,Toro y Moi & Brijean,10fef7ff-3fe2-58fb-b87e-85bca40ee011,191,222
,skel,Mamá Baker,f5efdf14-d742-5f0a-adc0-a554a132dbee,mama' baker,a85bc358-1446-5f3b-a94d-461e91cdad01,5,9
,skel,No Mana & Jantine,7c2aa531-a7c8-5184-821e-affbedc1d720,"No Mana, Jantine",14ad470f-3f71-5b36-a202-99cbe07b9fcc,264,346
,skel,Paul Brown & Lina,c9033e10-fe78-5ab7-8269-449745a576ff,"Paul Brown, Lina",5b14ea20-9768-59dc-8fe3-fc79370e4461,2,20
,skel,Julije Skjavetić,9bc3305d-94a2-4418-b9f5-cfc7ed25efbf,Julije Skjavetic,d670fbd5-4ea4-521f-a8eb-38487c85ea88,17,33
,skel,Bizarrap & Natanael Cano,0241c801-816b-54f4-bd31-f1239d3b582e,"Bizarrap, Natanael Cano",f1156fd3-fcc9-5b99-b61f-f6b0f2a5c39b,724,766
,skel,Killer Mike; André 3000; Eryn Allen Kane; Future,36d16cd3-cfda-5b20-92dd-d1927eb32c37,"Killer Mike, André 3000, Eryn Allen Kane, Future",47933b6d-5ad8-5c76-b3f4-40df63b55c7f,5,514
,skel,"Corey Lingo, Yung Brando",09035b36-97ba-5651-882d-bf50fa0b0703,Corey Lingo & Yung Brando,9bd5fe62-849c-5264-bd96-0ce50a7b43a4,2,5
,skel,Ash & Amélie Martinez,ff0c957f-8821-51d0-b147-3706c842dec4,"Ash, Amelie Martinez",85beb905-e397-5598-b111-6f1e8527775f,1,50
,skel,Kan`Nal,ec4ffdfb-f4fb-56c0-ae74-8ecd6002120c,Kan'Nal,0cbd56ec-0187-4c83-8978-c3d468fd47ab,237,361
,skel,Dimension 32 × Quantum Break,3397a05e-4960-58a7-a14f-40f7795bf740,Dimension 32 & Quantum Break,0f9ce451-9c7b-5a3f-8148-22f8f9806cd1,8,347
,skel,Chase   Status / Ceelo Green,1b109110-1b12-5d9c-86dd-94743144b53f,"Chase & Status, Ceelo Green",a4d170a4-1b3c-5f08-bfc1-880e4dc20eb0,18,22
,skel,Gyorgy Geiger,b3984570-aae6-5dcd-80db-6dd3af469dca,György Geiger,5ed099bf-23b0-4b06-8459-69bfd5cfd4e7,1,1
,skel,The Lottery Winners & Sleeper,1137f699-bb96-586a-b47d-7a9430a7157d,"The Lottery Winners, Sleeper",243b872b-9d6b-525f-b0cc-dc3ae5804865,8,21
,skel,"Double Zuksh, 3enba, & Abo El Anwar",7edbbd62-c7fe-5793-bd2a-8179d2bf9940,"Double Zuksh, 3enba, Abo El Anwar",b1bed983-fdd6-5426-9a2b-17e4bf8c3fc6,7,66
,skel,Disfunción Orgánica,fd2a5449-b1e9-4158-b98e-41e0869d3903,Disfuncion Organica,3fbb04a6-a418-520b-be76-423a856222bf,76,920
,skel,2 Pac feat. Dr.Dre,e2246803-5aa4-595c-9424-9f483fdec195,2 Pac feat. Dr Dre,69c4c3d5-f6ac-516d-be35-b9402d91dcbf,24,108
,skel,Jasiel Núñez,06f0469b-116d-5de1-9749-24c55572e2ba,Jasiel Nuñez,93ebf0f5-6c34-4e3f-9d03-107c05ba6183,1,742
,skel,Wilson Jermaine Heredia / Jesse L. Martin,04980fc1-70f1-5efb-8299-ddffc7035497,Wilson Jermaine Heredia & Jesse L. Martin,debd69a5-b631-5f78-96b5-0e44672b6a47,428,1670
,skel,"TDJ, X-COAST",422daae4-0646-57ef-a65d-91ee87fec35c,TDJ & X-Coast,7123f794-6855-52d4-9c9f-cfb6d14599b6,168,184
,skel,Nikita Magaloff [Piano],5ffbd8e7-ba5f-5426-b04c-8a4f848b7466,"Nikita Magaloff , Piano",77692a63-4fd7-5d15-b02d-3c11e640d9de,4,20
,skel,Nom De Strip vs Nezzo,b83310e4-dd85-5c1d-8952-f202875e0859,Nom De Strip vs. Nezzo,4a0b1a79-12ce-579b-b61a-5bf238e1850f,1,16
,skel,yama feat. indigo la End,332ea8f5-695d-5dc8-99a6-d2bce7c236aa,yama feat.indigo la End,696ccff6-9636-5648-abbf-42ac95e5c820,2,24
,skel,Rebelion & ATILAX,8b48fa8d-cf74-547a-8fe3-2932976dae67,"Rebelion, ATILAX",a87e70a7-956d-560c-bf47-66fbff0ce8f2,15,65
,skel,Micky Dolenz & Davy Jones,6f227b72-cdd1-54b6-96d5-eea4e9b55274,"Micky Dolenz, Davy Jones",b18261cd-8eca-541a-9890-aae2c0571f3d,2,10
,skel,Mölten,1241f473-2686-5a79-ac3a-7d4023900eab,Molten,cd5cb6d3-7e95-4a79-a0e5-43e53e5b8d9a,1,1068
,skel,Robić Ivo,ece56517-2e11-5d69-b4e9-70383b5ad774,"ROBIC, IVO",0b6c2545-ae8b-5e9d-8ae9-a2e97cfab5c5,9,21
,skel,Angélique Kidjo & Davido,0c1b93c6-738e-5be7-9573-489d3d36568f,"Angelique Kidjo, Davido",f9b42713-61c2-5b58-96df-e95688d8a947,4,85
,skel,Amy Sky \| Olivia Newton-John \| Beth Nielsen Chapman,409100ba-65d8-595f-b4d8-1a4a14db09e9,Amy Sky/Olivia Newton-John/Beth Nielsen Chapman,184b0fb7-9878-5743-8402-ebef6406691b,7,11
,skel,"Jane Krakowski, Colman Domingo",0672595b-3fc1-510b-bc49-808e7259d200,Jane Krakowski & Colman Domingo,6bb9d4fd-f059-5b96-afee-b6ec8f4f737b,40,302
,skel,Bing Crosby Frank Sinatra Nat King Cole,75cc38f8-da42-5482-a8ed-0a929d73b5da,Bing Crosby - Frank Sinatra - Nat King Cole,d5a84ee8-507a-5dc1-b64e-8f6cc323669a,1,81
,skel,Art of Fighters vs. Nico & Tetta,0c8484bb-5b46-5e0a-a146-0be6bda81e64,Art Of Fighters Vs Nico & Tetta,7e0fa63f-699f-5ecb-acda-29fca529553e,532,953
,skel,"GZA feat. Masta Killa, Dreddy Kruger, Inspectah Deck, Ol' Dirty Bastard",238a2774-c9cc-54cc-b577-9ad14fa173c3,"GZA feat. Masta Killa, Dreddy Kruger, Inspectah Deck & Ol’ Dirty Bastard",0fafc89f-6180-524c-8bf0-ca0c540b2300,4,67
,skel,Arzenál,9626003f-ebb8-553f-bb08-792d62859003,Arzenal,e49b35ae-05c0-5a63-8bc1-ca1e29f9adcb,4,5
,skel,Mareux & Riki,cb147f9b-b942-5a4c-8d41-a1a93e0bb779,"Mareux, Riki",831fc148-bbaa-547e-b2a0-0ee5b4b01075,40,86
,skel,Sandëro,1bf19553-7208-4fba-b57d-3c7a074c7e74,Sandero,cab0a595-6963-5a15-baab-0a1e1e2b100b,439,702
,skel,Stasys Povilaitis ir Gintarë,90f6fbd3-5999-5e8d-9a38-77d32bb1d6da,Stasys Povilaitis ir Gintarė,9f27cafa-ed87-5fa7-9139-2c6f753e39a4,2,3
,skel,"Adib Sin, Azuria Sky, B. L. Hav",83d2ddfd-5122-51ed-b9cd-34b15a99d285,Adib Sin/Azuria Sky/B. L. Hav,d7a48f01-8231-54e8-bd76-9ce073c69a53,1,2
,skel,Philippe Ménard,7f2677d0-6a6f-46e1-8a0e-e3de40464136,Philippe Menard,71eb5147-3ff1-5d9a-b630-b8585bb25406,257,298
,skel,India.Arie/Musiq Soulchild,4d3897e8-8908-5c55-997e-ac4c82913fae,India.Arie & Musiq Soulchild,f1783048-4d79-5e4f-b1eb-544f1c60113b,1,107
,skel,パトリシア・マーティン（ささきのぞみ）,823257ff-c132-5250-902d-b08a7e136773,パトリシア・マーティン(ささきのぞみ),77f34688-3b95-5458-bc11-ca82e783fc46,7,192
,skel,DaBaby; Lil Baby; Moneybagg Yo,4db1531a-ba12-522f-a519-62cd81dd8b83,"DaBaby, Lil Baby, Moneybagg Yo",f5635e1a-9045-576b-a6db-efe2d0b095d9,53,107
