label,name,url,r,collab_in,components,n_seg,r_bin,norm
,Rosa Ana feat. Appa,https://www.last.fm/music/Rosa+Ana+feat.+Appa,0.002,3,rosa ana (in=158); appa (in=1241),2,LOW(<0.05),rosa ana feat. appa
,Cassidy & Billy The Kid,https://www.last.fm/music/Cassidy+&+Billy+The+Kid,0.005,6,cassidy (in=693); billy the kid (in=1281),2,LOW(<0.05),cassidy & billy the kid
,Supermartxé & Playb4ck Feat. Mohombi,https://www.last.fm/music/Supermartx%C3%A9+&+Playb4ck+Feat.+Mohombi,0.005,4,supermartxe (in=282); playb4ck (in=357); mohombi (in=754),3,LOW(<0.05),supermartxe & playb4ck feat. mohombi
,"Cristoph, CultureKind & Afnan Prince","https://www.last.fm/music/Cristoph,+CultureKind+&+Afnan+Prince",0.007,6,cristoph (in=923); culturekind (in=232); afnan prince (in=24),3,LOW(<0.05),"cristoph, culturekind & afnan prince"
,Robb Sapp & Company,https://www.last.fm/music/Robb+Sapp+&+Company,0.010,9,robb sapp (in=8); company (in=916),2,LOW(<0.05),robb sapp & company
,"Brownie McGhee, Pete Seeger & Sonny Terry","https://www.last.fm/music/Brownie+McGhee,+Pete+Seeger+&+Sonny+Terry",0.011,13,brownie mcghee (in=172); pete seeger (in=1183); sonny terry (in=469),3,LOW(<0.05),"brownie mcghee, pete seeger & sonny terry"
,"Medusa, LØST SIGNAL, PACANI","https://www.last.fm/music/Medusa,+L%C3%98ST+SIGNAL,+PACANI",0.012,15,medusa (in=179); lost signal (in=1247); pacani (in=664),3,LOW(<0.05),"medusa, lost signal, pacani"
,"Trippie Redd, Skrillex & PinkPantheress","https://www.last.fm/music/Trippie+Redd,+Skrillex+&+PinkPantheress",0.016,33,trippie redd (in=2120); skrillex (in=1854); pinkpantheress (in=883),3,LOW(<0.05),"trippie redd, skrillex & pinkpantheress"
,"Mithril Oreder, R.A. The Rugged Man","https://www.last.fm/music/Mithril+Oreder,+R.A.+The+Rugged+Man",0.024,28,mithril oreder (in=372); r.a. the rugged man (in=1189),2,LOW(<0.05),"mithril oreder, r.a. the rugged man"
,Na Yoon Sik & Park Se Jun,https://www.last.fm/music/Na+Yoon+Sik+&+Park+Se+Jun,0.027,9,na yoon sik (in=268); park se jun (in=328),2,LOW(<0.05),na yoon sik & park se jun
,Senses & Nightclub20xx,https://www.last.fm/music/Senses+&+Nightclub20xx,0.030,34,senses (in=1140); nightclub20xx (in=91),2,LOW(<0.05),senses & nightclub20xx
